order_code	customer	order_date	order_status	customer_po	line_index	line_kind	myob_row_id	myob_line_type	myob_item_number	myob_item_name	description	quantity	quantity_unit	quantity_type	unit_price	line_total	myob_sales_unit	requires_job_sheet	myob_item_uid	myob_order_uid
EP61118	METRO SOUTH HOSPITAL AND HEALTH SERVICE	2026-05-06	confirmed	4305404225	0	myob_import	3957	Transaction	- CTN	Use for Quotes	CYTO240	10	cartons	units	170	1700	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	b7b8a2cc-1e0b-4101-889b-1d357ef200df
EP61119	MATER MISERICORD LTD (B)	2026-05-06	confirmed	MPO0381747	0	myob_import	3959	Transaction	- ROLLS	Used for Quotes	CL24002	2	rolls	total_rolls	48.6	97.2	ROLL	1	c305b11b-562f-4584-b934-9d562f97f458	33756a37-e8fd-42f2-8f7b-c35ddeafe436
EP61120	NOOSA HOSPITAL	2026-05-06	confirmed	4507280073	0	myob_import	3961	Transaction	- ROLLS	Used for Quotes	YCW2702	1	rolls	total_rolls	57.5	57.5	ROLL	1	c305b11b-562f-4584-b934-9d562f97f458	7d80fa76-f4fe-46bb-919d-84e3e2f401dd
EP61121	GREENSLOPES HOSPITAL	2026-05-06	confirmed		0	myob_import	3963	Transaction	- ROLLS	Used for Quotes	CYTO240	2	rolls	total_rolls	117.5	235	ROLL	1	c305b11b-562f-4584-b934-9d562f97f458	453dfa9d-a66a-428d-b12c-2269a20992e5
EP61122	NOOSA HOSPITAL	2026-05-06	confirmed		0	myob_import	3965	Transaction	- CTN	Use for Quotes	YCW75515	1	cartons	units	130.2	130.2	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	2c54530c-a0fa-434f-8463-eabc65816c3a
EP61123	GREENSLOPES HOSPITAL	2026-05-06	confirmed	4507375237	0	myob_import	3967	Transaction	- ROLLS	Used for Quotes	YCW3404	4	rolls	total_rolls	60.5	242	ROLL	1	c305b11b-562f-4584-b934-9d562f97f458	af59875e-f6a5-4f96-8684-fe4866b20fbf
EP61124	SUNSHINE COAST HOSPITAL AND HEALTH SERVIC	2026-05-06	confirmed	4507324802	0	myob_import	3969	Transaction	- CTN	Use for Quotes	CL75521C	18	cartons	units	70.5	1269	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	d27d9c47-1e24-41cf-8238-188cba4da9c5
EP61125	SUNSHINE COAST HOSPITAL AND HEALTH SERVIC	2026-05-06	confirmed	4507335943	0	myob_import	3971	Transaction	- CTN	Use for Quotes	CL75521C	10	cartons	units	70.5	705	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	4a16135f-2bc5-4a4b-8ca5-71f67d74be97
EP61126	MATER MISERICORD LTD (T)	2026-05-06	confirmed	MPO0381258	0	myob_import	3973	Transaction	- CTN	Use for Quotes	YCW75515	1	cartons	units	249.9	249.9	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	edaa80c5-2078-4cdd-9e6f-6a4d678f14ae
EP61127	FRIENDLY SOCIETY PRIVATE	2026-05-06	confirmed	5071357	0	myob_import	3975	Transaction	- CTN	Use for Quotes	CYTO240	1	cartons	units	107.5	107.5	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	060d1fce-f3c9-476a-9ae3-d016972c44b9
EP61128	ADVANTAGE SCREENS AND BLIN	2026-05-06	confirmed	ADV 956	1	myob_import	3981	Transaction	- ROLLS	Used for Quotes	T150120	6	rolls	total_rolls	65.8	394.8	ROLL	1	c305b11b-562f-4584-b934-9d562f97f458	1f27e964-e66b-4417-a953-c444c8d4c7e8
EP61128	ADVANTAGE SCREENS AND BLIN	2026-05-06	confirmed	ADV 956	3	myob_import	3979	Transaction	- ROLLS	Used for Quotes	T200120	6	rolls	total_rolls	65.8	394.8	ROLL	1	c305b11b-562f-4584-b934-9d562f97f458	1f27e964-e66b-4417-a953-c444c8d4c7e8
EP61128	ADVANTAGE SCREENS AND BLIN	2026-05-06	confirmed	ADV 956	5	myob_import	3977	Transaction	- ROLLS	Used for Quotes	T300120	6	rolls	total_rolls	65.8	394.8	ROLL	1	c305b11b-562f-4584-b934-9d562f97f458	1f27e964-e66b-4417-a953-c444c8d4c7e8
EP61129	BLACKWOODS	2026-05-06	confirmed	TWW70136ST	0	myob_import	3984	Transaction	- ROLLS	Used for Quotes	L/D NATURAL POLY BAG ON ROLL 1150MM X 1500MM X 150UM	20	rolls	total_rolls	128.2	2564	ROLL	1	c305b11b-562f-4584-b934-9d562f97f458	dcd9debb-d372-47b9-a92d-d72f1b97067f
EP61130	BLACKWOODS	2026-05-06	confirmed	ADW90957ST	0	myob_import	3986	Transaction	- CTN	Use for Quotes	QPB07	30	cartons	units	79	2370	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	4dc4c755-c9ed-4f31-8a35-9597dca41fe0
EP61131	BLACKWOODS	2026-05-06	confirmed	ORU66698ST	0	myob_import	3988	Transaction	- ROLLS	Used for Quotes	CFR600(1200)160050	6	rolls	total_rolls	119.85	719.1	ROLL	1	c305b11b-562f-4584-b934-9d562f97f458	9e6845b5-0057-4767-bfcd-1e13166445cf
EP61132	BLACKWOODS	2026-05-06	confirmed	RCX06456ST	0	myob_import	3990	Transaction	- CTN	Use for Quotes	QPB04 PB405910150	6	cartons	units	102	612	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	2f780dc1-16c1-4394-a2af-d72e47c0e4d5
EP61133	BLACKWOODS	2026-05-06	confirmed	SNW84526ST	0	myob_import	3992	Transaction	- CTN	Use for Quotes	PB250400125	20	cartons	units	41.25	825	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	6878c060-9be4-47f4-9e48-2e5a68699e05
EP61134	BLACKWOODS	2026-05-06	confirmed	PEV36641ST	1	myob_import	3997	Transaction	- CTN	Use for Quotes	PB255356100	32	cartons	units	29.5	944	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	3e5b8977-0634-4e5a-8a0b-335ce6afab57
EP61134	BLACKWOODS	2026-05-06	confirmed	PEV36641ST	3	myob_import	3993	Transaction	- CTN	Use for Quotes	PB135230150	10	cartons	units	64.95	649.5	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	3e5b8977-0634-4e5a-8a0b-335ce6afab57
EP61135	BLACKWOODS	2026-05-06	confirmed	BRV09181ST	0	myob_import	3999	Transaction	- CTN	Use for Quotes	QPB04 PB450910150	4	cartons	units	102	408	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	e06ad863-6e12-4058-b63d-96b77a784c07
EP61136	BLACKWOODS	2026-05-06	confirmed	PEV18513ST	0	myob_import	4001	Transaction	- CTN	Use for Quotes	QPB04 PB450910150	1	cartons	units	102	102	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	ca589410-f347-4830-8b68-3bec3d8c3a9e
EP61137	BLACKWOODS	2026-05-06	confirmed	BRV79777ST	0	myob_import	4003	Transaction	- CTN	Use for Quotes	QPB04 PB450910150	12	cartons	units	102	1224	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	57fc19c1-652b-484f-be2f-3170b73ed845
EP61138	BLACKWOODS	2026-05-06	confirmed	MWV90095ST	0	myob_import	4005	Transaction	- CTN	Use for Quotes	QPB04 PB450910150	10	cartons	units	102	1020	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	08a2f01f-a010-436c-89b6-80997bd9c9f2
EP61139	BLACKWOODS	2026-05-06	confirmed	NEW03466ST	0	myob_import	4007	Transaction	- CTN	Use for Quotes	QPB04 PB450910150	1	cartons	units	102	102	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	b0108c82-2cb1-46c2-83a2-060fc9bdf22a
EP61140	BLACKWOODS	2026-05-06	confirmed	ADW14290ST	0	myob_import	4009	Transaction	- CTN	Use for Quotes	QPB04 PB450910150	1	cartons	units	102	102	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	1722528e-f838-4d6d-9a9e-1c6a5b426272
EP61141	BLACKWOODS	2026-05-06	confirmed	PEW18201ST	0	myob_import	4011	Transaction	- CTN	Use for Quotes	PB56075090	8	cartons	units	127	1016	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	a256dd32-f020-4883-91bd-ce0088aa5cd5
EP61142	EP FOOD COMPANY	2026-05-06	confirmed	POR245521	0	myob_import	4013	Transaction	- CTN	Use for Quotes	PB45561035BL	40	cartons	units	105.6	4224	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	9665b66f-18db-40a1-9ab0-0997c00201ea
EP61144	DANIEL ST FISH MARKET	2026-05-06	confirmed	PHONE ORDER	1	myob_import	4019	Transaction	- ROLLS	Used for Quotes	PBR350550100P	56	rolls	total_rolls	153	8568	ROLL	1	c305b11b-562f-4584-b934-9d562f97f458	57a15aec-7ca3-4c45-a123-66f62a90213a
EP61144	DANIEL ST FISH MARKET	2026-05-06	confirmed	PHONE ORDER	3	myob_import	4015	Transaction	- CTN	Use for Quotes	S35050030	10	cartons	units	106	1060	CTN	1	e30728e1-4cd2-4c95-827f-31d2834954b2	57a15aec-7ca3-4c45-a123-66f62a90213a
