batch_no,created_date,customer,due_date,file_name,file_stem,item,item_code,match_status,notes,print_type,roll_type,sheet_name,total_kgs,total_mts,total_rolls
941811,2021-10-27,DAY WALK,,8201220100UVP - DAYWALK - 12-BUV3248.xlsx,8201220100UVP - DAYWALK - 12-BUV3248,PB8201220100UVP,12-BUV3248,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,Random Print,,Sheet1,400.16,2635.2000000000003,10.0
942642,2022-02-28,GEN FAB,2022-03-23,CF1100(2200)250050.xlsx,CF1100(2200)250050,CFR1100(2200)50,250M,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,Cont Centrefold,Sheet1,178.24074074074073,1750.0,7.0
937459,2025-09-09,ABL,2020-07-08,CF1200(2400).xlsx,CF1200(2400),CFR1500(3000)150,50M,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,Cont Centrefold,Sheet1,208.33333333333331,500.0,10.0
57617,2024-05-10,PROSEGUR,2024-03-05,CF290(580)70SHRINKMV - 343M.xlsx,CF290(580)70SHRINKMV - 343M,CFR290(580)700,343M,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,Cont Centrefold,Sheet1,902.5981481481482,12005.0,35.0
939871,2021-03-17,USC,2021-04-07,CF500(1000)70040050 -USC.xlsx,CF500(1000)70040050 -USC,CFR500(1000)70050,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,140.0,3024.0,6.0
946735,2025-06-16,SONDER CASKETS,,CF550(1100)2470100WHH.xlsx,CF550(1100)2470100WHH,CFR550(1100)2470100UV,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,13.585,133.38,1.0
947261,2024-06-18,EVERGUARD,,CFR1000(2000)25 - 18.5KG.xlsx,CFR1000(2000)25 - 18.5KG,CFR1000(2000)300,333M,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,Cont Centrefold,Sheet1,222.0,3996.0,12.0
57963,2025-10-09,DECKSTORE,2024-10-25,CFR380(760)102038 - IL4.xlsx,CFR380(760)102038 - IL4,CFR380(760)1020380AS,IL4,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,441.86400000000003,16524.0,15.0
939396,2021-02-18,OPAL PACKAGING,,CFR450(900)2550100WH - OPAL.xlsx,CFR450(900)2550100WH - OPAL,CFR450(900)2550100WH,CFR450(900)100WH,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,390.15000000000003,4681.8,17.0
941041,2024-02-13,ARC PANEL COOLUM,,CFR500(1000)50 ARC PANEL.xlsx,CFR500(1000)50 ARC PANEL,CFR300(600)25,450M,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,Cont Centrefold,Sheet1,187.5,13500.0,30.0
55655,2021-02-08,ARCPANEL,,CFR500(1000)75 - ARCPANEL.xlsx,CFR500(1000)75 - ARCPANEL,CFR500(1000)75,375M,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,Cont Centrefold,Sheet1,52.083333333333336,750.0,2.0
57069,2023-01-25,TRIPLE M,,CFR600(1200)150FLAME.xlsx,CFR600(1200)150FLAME,CFR600(1200)150FL,120M,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,Cont Centrefold,Sheet1,1520.0,4560.0,38.0
937799,2020-07-15,JAMES HARDIE SYSTEMS,2020-08-05,CFR625(1250)25.xlsx,CFR625(1250)25,CFR625(1250)25,899M,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,Cont Centrefold,Sheet1,416.2037037037037,14384.0,16.0
950531,2025-08-28,SONDER CASKETS,,CFR625(1250)2580100WH.xlsx,CFR625(1250)2580100WH,CFR625(1250)2580100UV,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,367.65,3343.6800000000003,12.0
951583,2026-04-20,DAYWALK,,CFR840(1680)168025P - DAYWALK - 12-PTS168025.xlsx,CFR840(1680)168025P - DAYWALK - 12-PTS168025,CFR840(1680)168060UV0P,12-PTS1680/25,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,Random Print,,Sheet1,1456.3584,15603.84,43.0
944685,2022-12-14,DOLPHIN/TRADIE MIX,2023-01-14,CFR840(1680)168025black .xlsx,CFR840(1680)168025black ,CFR840(1680)168028,TOP SHEET/PALLET CAP,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,94.83264000000001,2177.28,5.0
950078,2025-10-31,DOLPHIN/EP FOOD/KEN CF,,CFR840(1680)168030BL - FOOD GRADE TOP SHEET.xlsx,CFR840(1680)168030BL - FOOD GRADE TOP SHEET,CFR840(1680)168030BT0,FOOD GRADE TOP SHEET,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,1058.4,22680.0,50.0
943840,2024-11-27,APEX MASONRY,2022-09-05,CFR840(1680)168050 APEX MASONRY.xlsx,CFR840(1680)168050 APEX MASONRY,CFR840(1680)1680500,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,14.112,181.44,1.0
54889,2021-10-05,WAREHOUSE,2020-05-09,CFR840(1680)168050BL - DOLPHIN TOP SHEET.xlsx,CFR840(1680)168050BL - DOLPHIN TOP SHEET,CFR840(1680)168030BT,FOOD GRADE TOP SHEET,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,211.68,4536.0,10.0
951184,2026-04-16,DAYWALK,,CFR840(1680)168060P - DAYWALK - 12-PTS168060.xlsx,CFR840(1680)168060P - DAYWALK - 12-PTS168060,CFR1180(2360)16801500UVP,PTS1680/60UV,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,Random Print,,Sheet1,2230.2,6804.0,30.0
938822,2020-10-30,OMNI TUFF,2020-12-11,CFR840(1680)168060UV - 12-PTS168060UV.xlsx,CFR840(1680)168060UV - 12-PTS168060UV,CFR840(1680)168060UVP,12-PTS1680/60UV,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,Random Print,,Sheet1,1058.4,11340.0,50.0
