

Receivable Invoice Detail																
DOLPHIN PLASTICS & PACKAGING																
For the period 1 July 2024 to 30 June 2025																
																
Invoice Number	Invoice Date	Source	Reference	Item Code	Description	Quantity	Unit Price (ex) (AUD)	Discount (ex) (AUD)	GST (AUD)	Gross (AUD)	Invoice Total (AUD)	Balance (AUD)	Contact Account Number	Contact Group	Account Code	Account
																
100% REEF SAFE																
948478	27 Sep 2024	Receivable Invoice	PETE - EMAIL		PB15031050 - L/D NATURAL POLY BAG 150MM X 310MM X 50UM 2000/CTN $/1000 (UOM = THOU)	12.0000	68.0000	0.00	81.60	897.60	2,232.89	0.00	7200		4030	Sales - Manufactured Finished Goods
948478	27 Sep 2024	Receivable Invoice	PETE - EMAIL		PB18033050 - L/D NATURAL POLY BAG 180MM X 330MM X 50UM 2000/CTN $/1000 (UOM = THOU)	13.3500	86.0000	0.00	114.81	1,262.91	2,232.89	0.00	7200		4030	Sales - Manufactured Finished Goods
948478	27 Sep 2024	Receivable Invoice	PETE - EMAIL		FREIGHT OUTGOING - DISPATCHED FROM WARANA WAREHOUSE (UOM = ea)   - (Customer Part # .)	1.0000	65.8000	0.00	6.58	72.38	2,232.89	0.00	7200		4070	Freight Outgoing
948478	27 Sep 2024	Receivable Invoice	PETE - EMAIL		# DUE TO MANUFACTURING UNDER AND OVER ALLOWANCES THIS ITEM IS SLIGHTLY OVER YOUR REQUESTED AMOUNT, PLEASE ADJUST YOUR PURCHASE ORDER ACCORDINGLY.	1.0000	0.0000	0.00	0.00	0.00	2,232.89	0.00	7200			
Total 100% REEF SAFE						27.3500		0.00	202.99	2,232.89		0.00				
																
4 SEAS PTY LTD																
948801	17 Oct 2024	Receivable Invoice	# 111024  AL		PBR1015G66020BLMD - M/D BLUE POLY BAG ON ROLL 1015 GUSSET X 660MM X  20UM  500/ROLL  $/ROLL (UOM = ROLL)   - (Customer Part # .)	4.8800	91.0000	0.00	44.41	488.49	534.69	0.00	5355	SUPPLIERS	4030	Sales - Manufactured Finished Goods
948801	17 Oct 2024	Receivable Invoice	# 111024  AL		FREIGHT OUTGOING - DISPATCHED FROM WARANA WAREHOUSE (UOM = ea)	1.0000	42.0000	0.00	4.20	46.20	534.69	0.00	5355	SUPPLIERS	4070	Freight Outgoing
948801	17 Oct 2024	Receivable Invoice	# 111024  AL		# DUE TO MANUFACTURING UNDER AND OVER ALLOWANCES THIS ITEM IS SLIGHTLY UNDER YOUR REQUESTED AMOUNT, PLEASE CONSIDER THIS ORDER NOW CLOSED.	1.0000	0.0000	0.00	0.00	0.00	534.69	0.00	5355	SUPPLIERS		
950138	09 Jun 2025	Receivable Invoice	#050625 LH		PBR1015G66020BLMD - M/D BLUE POLY BAG ON ROLL 1015 GUSSET X 660MM X  20UM  500/ROLL  $/ROLL (UOM = ROLL)   - (Customer Part # .)	5.0000	91.0000	0.00	45.50	500.50	553.30	0.00	5355	SUPPLIERS	4030	Sales - Manufactured Finished Goods
950138	09 Jun 2025	Receivable Invoice	#050625 LH		FREIGHT OUTGOING - DISPATCHED FROM WARANA WAREHOUSE (UOM = ea)	1.0000	48.0000	0.00	4.80	52.80	553.30	0.00	5355	SUPPLIERS	4070	Freight Outgoing
Total 4 SEAS PTY LTD						12.8800		0.00	98.91	1,087.99		0.00				
																
A1 COATERS																
948259	18 Jul 2024	Receivable Invoice	PHONE  18.07.24		STRETCH WRAP REAPER - CAST STRETCH WRAP 500MM X 400MTRS X 23UM 4ROLLS/CTN $/CTN (UOM = CTN)   - (Customer Part # WRAP)	2.0000	90.0000	0.00	18.00	198.00	198.00	0.00	7612		4020	Sales - Imported Finished Goods
948340	01 Aug 2024	Receivable Invoice	WALKIN		STRETCH WRAP REAPER - CAST STRETCH WRAP 500MM X 400MTRS X 23UM 4ROLLS/CTN $/CTN (UOM = CTN)   - (Customer Part # WRAP)	3.0000	90.0000	0.00	27.00	297.00	297.00	0.00	7612		4020	Sales - Imported Finished Goods
948603	09 Sep 2024	Receivable Invoice	PHONE 09.09.24		STRETCH WRAP REAPER - CAST STRETCH WRAP 500MM X 400MTRS X 23UM 4ROLLS/CTN $/CTN (UOM = CTN)   - (Customer Part # WRAP)	1.0000	90.0000	0.00	9.00	99.00	99.00	0.00	7612		4020	Sales - Imported Finished Goods
948702	24 Sep 2024	Receivable Invoice	ELIZ 24.09.24		STRETCH WRAP REAPER - CAST STRETCH WRAP 500MM X 400MTRS X 23UM 4ROLLS/CTN $/CTN (UOM = CTN)   - (Customer Part # WRAP)	3.0000	90.0000	0.00	27.00	297.00	496.47	0.00	7612		4020	Sales - Imported Finished Goods
948702	24 Sep 2024	Receivable Invoice	ELIZ 24.09.24		STRETCH WRAP BUNDLE (20/CTN) - BUNDLE WRAP 100MM X 300MTS X 20UM 20/CTN $/CTN (UOM = CTN)	2.0000	90.6675	0.00	18.13	199.47	496.47	0.00	7612		4040	Sales - Purchased Finished Goods
948996	14 Nov 2024	Receivable Invoice	PHONE 14.11.24		STRETCH WRAP REAPER - CAST STRETCH WRAP 500MM X 400MTRS X 23UM 4ROLLS/CTN $/CTN (UOM = CTN)   - (Customer Part # WRAP)	3.0000	90.0000	0.00	27.00	297.00	297.00	0.00	7612		4020	Sales - Imported Finished Goods
949377	28 Jan 2025	Receivable Invoice	PHONE 28.01.25		STRETCH WRAP REAPER - CAST STRETCH WRAP 500MM X 400MTRS X 23UM 4ROLLS/CTN $/CTN (UOM = CTN)   - (Customer Part # WRAP)	2.0000	90.0000	0.00	18.00	198.00	198.00	0.00	7612		4020	Sales - Imported Finished Goods
