Receivable Invoice Detail																
DOLPHIN PLASTICS & PACKAGING																
For the period 1 July 2025 to 30 June 2026																
																
Invoice Number	Invoice Date	Source	Reference	Item Code	Description	Quantity	Unit Price (ex) (AUD)	Discount (ex) (AUD)	GST (AUD)	Gross (AUD)	Invoice Total (AUD)	Balance (AUD)	Contact Account Number	Contact Group	Account Code	Account
																
A1 COATERS																
950274	02 Jul 2025	Receivable Invoice	BELINDA 02.07.25		STRETCH WRAP CAST - STRETCH WRAP CAST - 500MM X 450MM X 20UM (UOM = CTN)	1.0000	90.0000	0.00	9.00	99.00	99.00	0.00	7612		4040	Sales - Purchased Finished Goods
950345	15 Jul 2025	Receivable Invoice			STRETCH WRAP CAST - STRETCH WRAP CAST - 500MM X 450MM X 20UM (UOM = CTN)	3.0000	90.0000	0.00	27.00	297.00	528.74	0.00	7612		4040	Sales - Purchased Finished Goods
950345	15 Jul 2025	Receivable Invoice			STRETCH WRAP BUNDLE (20/CTN) - BUNDLE WRAP 100MM X 300MTS X 20UM 20/CTN $/CTN (UOM = CTN)	1.0000	90.6675	0.00	9.07	99.74	528.74	0.00	7612		4040	Sales - Purchased Finished Goods
950345	15 Jul 2025	Receivable Invoice			PB455685150-IMP QPB07 - QPB07 LD NATURAL POLYBAG 455MM X 685MM X 150UM 200/CTN $/CTN (UOM = CTN)   - (Customer Part # POLY BG)	1.0000	120.0000	0.00	12.00	132.00	528.74	0.00	7612		4020	Sales - Imported Finished Goods
950522	12 Aug 2025	Receivable Invoice	WALK IN		STRETCH WRAP REAPER - CAST STRETCH WRAP 500MM X 400MTRS X 23UM 4ROLLS/CTN $/CTN (UOM = CTN)   - (Customer Part # WRAP)	3.0000	90.0000	0.00	27.00	297.00	297.00	0.00	7612		4020	Sales - Imported Finished Goods
950656	04 Sep 2025	Receivable Invoice	PHONE ORDER		STRETCH WRAP REAPER - CAST STRETCH WRAP 500MM X 400MTRS X 23UM 4ROLLS/CTN $/CTN (UOM = CTN)   - (Customer Part # WRAP)	4.0000	90.0000	0.00	36.00	396.00	396.00	0.00	7612		4020	Sales - Imported Finished Goods
950813	29 Sep 2025	Receivable Invoice	PHONE -CALL		STRETCH WRAP BUNDLE (20/CTN) - BUNDLE WRAP 100MM X 300MTS X 20UM 20/CTN $/CTN (UOM = CTN)	2.0000	90.6675	0.00	18.13	199.47	199.47	0.00	7612		4040	Sales - Purchased Finished Goods
950813	29 Sep 2025	Receivable Invoice	PHONE -CALL		**TBC ON MONDAY AFTER 10 AM***	1.0000	0.0000	0.00	0.00	0.00	199.47	0.00	7612			
951024	30 Oct 2025	Receivable Invoice	BELINDA - PHONE ORDER		STRETCH WRAP REAPER - CAST STRETCH WRAP 500MM X 400MTRS X 23UM 4ROLLS/CTN $/CTN (UOM = CTN)   - (Customer Part # WRAP)	1.0000	90.0000	0.00	9.00	99.00	99.00	0.00	7612		4020	Sales - Imported Finished Goods
951116	14 Nov 2025	Receivable Invoice	PHONE ORDER		STRETCH WRAP REAPER - CAST STRETCH WRAP 500MM X 400MTRS X 23UM 4ROLLS/CTN $/CTN (UOM = CTN)   - (Customer Part # WRAP)	2.0000	90.0000	0.00	18.00	198.00	297.74	0.00	7612		4020	Sales - Imported Finished Goods
951116	14 Nov 2025	Receivable Invoice	PHONE ORDER		STRETCH WRAP BUNDLE (20/CTN) - BUNDLE WRAP 100MM X 300MTS X 20UM 20/CTN $/CTN (UOM = CTN)	1.0000	90.6675	0.00	9.07	99.74	297.74	0.00	7612		4040	Sales - Purchased Finished Goods
951223	04 Dec 2025	Receivable Invoice	PHONE ORDER		STRETCH WRAP REAPER - CAST STRETCH WRAP 500MM X 400MTRS X 23UM 4ROLLS/CTN $/CTN (UOM = CTN)   - (Customer Part # WRAP)	2.0000	90.0000	0.00	18.00	198.00	297.74	0.00	7612		4020	Sales - Imported Finished Goods
951223	04 Dec 2025	Receivable Invoice	PHONE ORDER		STRETCH WRAP BUNDLE (20/CTN) - BUNDLE WRAP 100MM X 300MTS X 20UM 20/CTN $/CTN (UOM = CTN)	1.0000	90.6675	0.00	9.07	99.74	297.74	0.00	7612		4040	Sales - Purchased Finished Goods
951326	14 Jan 2026	Receivable Invoice			STRETCH WRAP REAPER - CAST STRETCH WRAP 500MM X 400MTRS X 23UM 4ROLLS/CTN $/CTN (UOM = CTN)   - (Customer Part # WRAP)	2.0000	94.5000	0.00	18.90	207.90	407.37	0.00	7612		4020	Sales - Imported Finished Goods
