CODE	CYL	CUSTOMER	PLATE DESCRIPTION
C -1	 	UltraStak Australia	UltraStak Australia
C -2	 	Beaulieu Australia	Beaulieu Australia
C - 3	 	Pacific Shades	Pacific Shades
C - 4	 	Blinds 4 you	Blinds 4 you
C - 5	 	Prior Packaging	Ludowici
C - 6	 	Eye marks 	Eye marks - Crown Pack
C - 7	 	Q.I.S Packaging	Nordon Cylinders
C - 8	 	Harben Packaging	Nordon Cylinders
C - 9	 	A.D & RE Barker	Guzzla Products
C - 10	 	Pacplus	CQ Fresh Pac Veges
C - 11	 	Formblock	Lyndons
C - 12	 	Bundaberg Packers	3kg Net Fresh potatoes
C - 13	 	 	Clinical Waste
C - 14	 	 	Cytotoxic waste
C - 15	 	 	Clinical Waste Symbol Only
C - 16	 	 	Linen
C - 17	 	 	General Waste
C - 18	 	Bendix & new logo	Bendix + new logo
C - 19	 	Crown Pack Stock	Party Ice 3.5kg & 5kg
C - 20	 	 	Contaminated Waste
C - 21	 	 	Fresh Produce Potatoes 2kg
C - 22	 	TGA Pastry	FA 20
C - 23	 	Kiddy Cots	Kiddy Cots - Danger
C - 24	 	G.A.M Steel (The steel barn)	Steel Barn
C - 25	 	Rural Buying	RBS
C - 26	 	Devco	Swancorp 10kg Sulphur
C - 27	 	Toowoomba Saddlery	Toowoomba Saddlery - Tube
C - 28	 	Toowoomba Saddlery	Toowoomba Saddlery - Bags
C - 29	 	Revolution Equipment	AHS
C - 30	 	Formblock	Green Steel
C - 31	 	Coastline Trusses	Coastline Trusses
C - 32	 	Formblock	Down Under Steel
C - 33	 	Formblock	Buyrite Steel Supplies
C - 34	 	Grant Timbers	Grant Timbers
C - 35	 	Rankine Timbers	Rankine Timbers
C - 36	 	Direct Line Timbers	Direct Line Timbers
C - 37	 	Wren Timbers	Wren Timbers - 900 Repeat
C - 38	 	Wren Timbers	Wren Timbers - 620 Repeat
C - 39	 	Australian Warehouse	Davana Industries
C - 40	 	Bulloo River Ice	Bulloo 4kg Ice
C - 41	 	Q.I.S Packaging	Pak Ice
C - 42	 	Australian Warehouse	A1 Hydraulic Cyl Services
C - 43	 	Formblock	Steel Supplies Gladstone
C - 44	 	Bundaberg Packers	3kg Fresh Produce
C - 45	 	Tutti Fruiti	Tutti Fruiti - 10kg
C - 46	 	Brisbane Hanger	Laundry & Drycleaning
C - 47	 	Brisbane Hanger	Drycleaning & Laundry
C - 48	 	Metroll	Aussie Outdoor
C - 49	 	ABL Distibution	Danley Lifeguard
C - 50	 	Australian               Aust Commercial Furniture	Sitz Australia
C - 51	 	Polycell 	Polycell 
C - 52	 	Pack Fresh	Gel Ice Packs - Crown Pack Print
 C - 53	 	Crown Pack	Royal Covers
C - 54	 	Alexander Coloquohns	Superior Landscape - small
C - 55	 	MyPack	Mypack Eco 2
C - 56		Crown Pack	Caution Asbestos – Old Plate
C - 57	 	Total Choice Packaging	Candy Time
C - 58	 	Grain Products	 Gluten	Crown Pack	Caution Asbestos - Old Plate
C - 59	 	Grain Products	Rubbish
C - 60	 	Rydell	Rydell
C - 61	 	Pacific Linen	Dust Covers  3,4,5
C - 62	 	Q.I.S Packaging	One Steel
C - 63	 	Crown Pack	Caution Asbestos 
C - 64	 	ABL Distribution	EFS 4WD
C - 65	 	The Pet Cemetery	The Pet Cemetery
C - 66	 	Sarina Ice Works	Sarina Ice Works - 20kg & 10KG
C - 67	 	Grain Products	Fire Extinguisher
C - 68	 	Q.I.S Packaging	Ice - Pax
C - 69	 	Q.I.S Packaging	Gel Ice Pac
C - 70	 	Melco Lanhams (old plate)	Melco Lanhams Mitre 10 Trade centre 
C - 71	 	Melco Lanhams (old plate)	Melco hardware group
C - 72	 	Melco Lanhams (old plate)	Melco hardware Group - Works for me
C - 73	 	Melco Lanhams (old plate)	Melco
C - 74	 	Spill Control Systems	Spill Sponge Econo Floor Sweep
C - 75	 	Toucan Menswear	Mens Wear By Toucan
C - 76	 	Q.I.S Packaging	RB Sales - Flexalen
C - 77	 	Redblade	Country fresh
C - 78	 	Norfoam	Norfoam
C - 79	 	Elco Solutions	Bunkermat
C - 80	 	Pack Fresh	Pack fresh - hemplas print
C - 81	 	Mad About Timber	Mad About Timber
C - 82	 	Spill Control Systems	Spill Sponge
C - 83	 	Spill Control Systems	Environmental Floor Sweep
C - 84	 	WRS	Organic & Eco88 - green writing
C - 85	 	WRS	Organic & Eco88 - black writing
C - 86	 	Bluelink	Shaver Shop
C - 87	 	Alexander Coloquohns	Superior Landscape - Large
C - 88	 	East Coast Woodshavings	Compressed Wood Shavings
C - 89	 	Bagprint	Carpendale Mushrooms Compost
C - 90	 	Elco Solutions	Elcomax
C - 91	 	East Coast Timbers	East Coast Timbers
C - 92	 	Village Timbers	Village Timberwrap
C - 93	 	Elco Solutions	Elcoseal
C - 94	 	Beattie Produce	Farmfresh potatoes - 4kg & 5kg
C - 95	 	Tutti Frutti	Coffs Coast potatoes 2kg & 4kg
C – 96		Crown Pack	Eye Marks
C - 97	1 AR 390	Austech	Austech External Building Products
C - 98		Sanofi Aventis – 610 width	New Packaging Inside
C - 99	 	Sanofi Aventis – 800 width 	New Packaging Inside
C - 100	2ARx298 	Q.I.S Packaging 	Prosure
C- 101		Q.I.S Packaging	VP Coins
C- 102		Scholz Industries – Air Additions	Air Additions + size slugs
C- 103		Paradise PVC Welding	Deceased Animal Bag
C- 104		Refobar Australia	Refobar Australia
C- 105		Wayne Richardson Sales	Flight Centre Travel Academy
C - 106		QIS Packaging	Corrsafe – Hemplas to print

 

CODE	CYL	CUSTOMER	PLATE DESCRIPTION
