		Add $/kg	Prices per Kg per mm					Prices per Kg			
	Film Size  mm		100-399	400-849	850-1450	1451-2200		100-399	400-849	850-1450	1451-2200
Wholesale	Poly Tube Base 		5.5	4.75	4.5	4.85		5.5	4.75	4.5	4.85
	Sleeve	0.1	0.2	0.15	0.1	0.2		5.7	4.9	4.6	5.05
	Bag	0.35	0.45	0.4	0.35	0.45		5.95	5.15	4.85	5.3
	Sheet	0.5	0.6	0.55	0.5	0.6		6.1	5.3	5	5.45
	Gusset	0.5	0.6	0.55	0.5	0.6		6.1	5.3	5	5.45
	C-Fold	0.2	0.3	0.25	0.2	0.3		5.8	5	4.7	5.15
	U-Fold/J-Fold	0.2	0.3	0.25	0.2	0.3		5.8	5	4.7	5.15
	Punch/Vented	0.4	0.5	0.45	0.4	0.5		6	5.2	4.9	5.35
	Conversion 	2	2.1	2.05	2	2.1		7.6	6.8	6.5	6.95
