row_id,label,final_price,price_per_kg,totals_kg,totals_units,rolls,printing_unavailable_reason
1,TUBE LDPE LF W450mm L78550mm 150um 30KG,54.00,1.80,30,,,
2,BAG LDPE G W550+320 L1780 35um GREEN 9875 bags,1028.18,2.09,492.416085,9875,,
3,BAG LDPE LF W420 L700 100um WHITE PRINTED 5 COL,258.81,1.91,135.24,5000,,Printing unavailable: no pricing tier configured for this width/colour
4,BAG LDPE G W390+300 L460 35um 75 rolls x 500 bags,689.87,1.80,383.2605,37500,75,
5,CENTERFOLD LDPE W720 L500 35um 10 rolls x 1000,208.66,1.80,115.92,10000,10,
6,BAG LDPE LF W460 L960 75um RED 56 rolls x 250,926.95,2.17,426.58559999999994,14000,56,
7,SLEEVE LDPE W635 L6100 190um PRINT 1 COL 11 rolls x 17,647.91,5.12,126.6154186,187,11,Printing unavailable: below minimum length (2000m)
8,TUBE LDPE LF W360 150um WHITE 250KG,478.43,1.91,250,,,
9,TUBE LDPE LF W175 150um PRINT 1 COL 300KG,1417.45,4.72,300,,,
10,TUBE LDPE LF W225 150um SILVER PRINT 4 COL 400KG,2250.93,5.63,400,,,
11,Blue TINT LDPE bags on roll 510mm x 770mm x 30um 500/roll,235.51,2.17,108.3852,10000,20,
12,PBR 1000x1675x100 50/roll,7868.98,2.17,3621.3500000000004,23500,470,
