customer,quoter,label,product_type,base_width_mm,gusset_mm,base_length_mm,thickness_um,finish_mode,print_method,num_colours,colour,resin_blend,run_up,qty_type,num_units,num_rolls,units_per_roll,total_kg,weight_per_roll_kg,existing_quote_price
,,TUBE LDPE LF W450mm L78550mm 150um 30KG,Tube,450,,78550,150,Rolls,None,0,,LD,,kg,0,0,0,30,0,
,,BAG LDPE G W550+320 L1780 35um GREEN 9875 bags,Bag,550,320,1780,35,Rolls,None,0,GREEN,LD,,units,9875,0,0,0,0,
,,BAG LDPE LF W420 L700 100um WHITE PRINTED 5 COL,Bag,420,,700,100,Rolls,Inline,5,WHITE,LD,,units,5000,0,0,0,0,
,,BAG LDPE G W390+300 L460 35um 75 rolls x 500 bags,Bag,390,300,460,35,Rolls,None,0,,LD,,rolls_units,0,75,500,0,0,
,,CENTERFOLD LDPE W720 L500 35um 10 rolls x 1000,Centerfold,720,,500,35,Rolls,None,0,,LD,2up,rolls_units,0,10,1000,0,0,
,,BAG LDPE LF W460 L960 75um RED 56 rolls x 250,Bag,460,,960,75,Rolls,None,0,RED,LD,,rolls_units,0,56,250,0,0,
,,SLEEVE LDPE W635 L6100 190um PRINT 1 COL 11 rolls x 17,Sleeve,635,,6100,190,Rolls,Inline,1,,LD,,rolls_units,0,11,17,0,0,
,,TUBE LDPE LF W360 150um WHITE 250KG,Tube,360,,0,150,Rolls,None,0,WHITE,LD,,kg,0,0,0,250,0,
,,TUBE LDPE LF W175 150um PRINT 1 COL 300KG,Tube,175,,0,150,Rolls,Inline,1,,LD,,kg,0,0,0,300,0,
,,TUBE LDPE LF W225 150um SILVER PRINT 4 COL 400KG,Tube,225,,0,150,Rolls,Inline,4,SILVER,LD,,kg,0,0,0,400,0,
AZAPAK,Ross,Blue TINT LDPE bags on roll 510mm x 770mm x 30um 500/roll,Bag,510,,770,30,Rolls,None,0,RED,LD,,rolls_units,0,20,500,0,0,1090
Gourmet Gardens,Ross,PBR 1000x1675x100 50/roll,Bag,1000,,1675,100,Rolls,None,0,RED,LD,,rolls_units,0,470,50,0,0,32430
Betta Blinds,Joe,LD Natural Poly Tubing 310 x 250um clear,Tube,310,,,250,Rolls,None,0,,LD,,rolls_kg,0,200,1,200,1,940
Signet,Joe,Natural Poly Bags LD 610 910 30um,Bag,610,,910,30,Cartons,None,0,,LD,,units,10000,,,,,1956
Signet,Joe,LD Poly Bags Green tint + UV ,Bag,150,,150,150,Cartons,None,0,,LD,,units,30000,,,,,2055
Morton Hire,Joe,Furniture Bags 760+600 x 1050 x 40,Bag,760,600,1050,40,Rolls,None,0,,LD,,rolls_units,0,20,100,0,0,1676
Morton Hire,Joe,Cutlery Bags 140 x 360 x 50um,Bag,140,,360,50,Rolls,None,0,,LD,,rolls_units,0,10,1000,0,0,1690
QIS,Joe,Gussetted Polly Tubing,Sleeve,1000,800,181000,50,Rolls,None,0,,LD,,units,20,20,1,0,0,1753.4
QIS,Joe,LDPE Clear Poly Bags 1200 x 800 x 200um,Bag,1200,,800,200,Rolls,None,0,,LD,,rolls_units,1250,25,50,0,0,2342.25
PacPlus,Lisa,Centerfold sheet 1mtr 30 um,Centerfold,1000,,,30,Rolls,None,0,,LD,,rolls_kg,,8,1,,18.5,672
Mincon,Joe,NATURAL LDPE POLY TUBE 200MM X 100M X 200UM,Sleeve,200,,100000,200,Rolls,None,0,,LD,,rolls_units,10,10,1,0,0,408.9
Emjay,Joe,LDPE NATURAL S.W.S 400MM X 200UM 15KGS/ROLL,Sheet,400,,,200,Rolls,None,0,,LD,,rolls_kg,,30,,,15,1510
AZAPAK,Joe,LAYFLAT TUBING WHITE LDPE (VIRGIN) 250MM X 150UM,Tube,250,,,150,Rolls,None,0,,LD,,rolls_kg,,50,,,10,2375
,,TUBE LDPE LF. W450mm X L78550mm X 150µm.,Sleeve,450,,78550,150,Rolls,None,0,,LD,,kg,,,,30,,177
,,BAG LDPE G. W(550mm + 320mm) X L1780mm X 35µm. GREEN.,Bag,550,320,1780,35,Cartons,None,0,,LD,,units,9875,,,,,5451.49
,,BAG LDPE LF. W420mm X L700mm X 100µm. WHITE. PRINTED 5 COLOURS X 1 SIDE.,Bag,420,,700,100,Cartons,Uteco,5,WHITE,LD,,units,5000,,,,,3375
,,BAG LDPE G. W(390mm + 300mm) X L460mm X 35µm.,Bag,390,300,460,35,Rolls,,,,,,units,37500,,,,,4245
,,CENTERFOLD LDPE. W720mm X L500mm X 35µm.,Centerfold,720,,500,35,Rolls,,,,,,units,10000,,,,,850
,,BAG LDPE LF. W460mm X L960mm X 75µm. RED.,Bag,460,,960,75,Rolls,,,RED,,,units,14000,,,,,5541.2
,,SLEEVE LDPE. W635mm X L6100mm X 190µm. PRINTED 1 COLOUR X 1 SIDE.,Sleeve,635,,6100,190,Rolls,Inline,1,,,,units,187,,,,,2035
Marco,,TUBE LDPE LF. W360mm X 150µm. WHITE.,Tube,360,,,150,Cartons,,,WHITE,,,kg,,,,250,,1075
Marco,,TUBE LDPE LF. W175mm X 150µm. PRINTED 1 COLOUR X 1 SIDE.,Tube,175,,,150,Cartons,Inline,1,,,,kg,,,,300,,1590
Marco,,TUBE LDPE LF. W225mm X 150µm. SILVER. PRINTED 4 COLOURS X 1 SIDE.,Tube,225,,,150,Cartons,Uteco,4,SILVER,,,kg,,,,400,,3240
